Skenario,name,query_type,recip_rank,success_10,success_20,success_50,success_100,success_10 (%),success_20 (%),success_50 (%),success_100 (%)
Skenario 1 (BM25),BM25 (Gemini LLM),1,0.4319,0.5882352941176471,0.7647058823529411,0.7647058823529411,0.8823529411764706,58.82,76.47,76.47,88.24
Skenario 1 (BM25),BM25 (Gemini LLM),2,0.279,0.5882352941176471,0.6470588235294118,0.8235294117647058,0.8235294117647058,58.82,64.71,82.35,82.35
Skenario 1 (BM25),BM25 (Gemini LLM),3,0.206,0.3529411764705882,0.4117647058823529,0.7058823529411765,0.8823529411764706,35.29,41.18,70.59,88.24
Skenario 1 (BM25),BM25 (Google NMT),1,0.1172,0.2352941176470588,0.3529411764705882,0.5294117647058824,0.5882352941176471,23.53,35.29,52.94,58.82
Skenario 1 (BM25),BM25 (Google NMT),2,0.1263,0.1764705882352941,0.4117647058823529,0.6470588235294118,0.7058823529411765,17.65,41.18,64.71,70.59
Skenario 1 (BM25),BM25 (Google NMT),3,0.1919,0.1764705882352941,0.2941176470588235,0.3529411764705882,0.5882352941176471,17.65,29.41,35.29,58.82
Skenario 1 (BM25),BM25+RM3 (Gemini LLM),1,0.4716,0.6470588235294118,0.7647058823529411,0.8235294117647058,0.8823529411764706,64.71,76.47,82.35,88.24
Skenario 1 (BM25),BM25+RM3 (Gemini LLM),2,0.2619,0.5294117647058824,0.6470588235294118,0.8823529411764706,0.8823529411764706,52.94,64.71,88.24,88.24
Skenario 1 (BM25),BM25+RM3 (Gemini LLM),3,0.163,0.2352941176470588,0.3529411764705882,0.6470588235294118,0.7058823529411765,23.53,35.29,64.71,70.59
Skenario 1 (BM25),BM25+RM3 (Google NMT),1,0.1391,0.3529411764705882,0.4705882352941176,0.5882352941176471,0.5882352941176471,35.29,47.06,58.82,58.82
Skenario 1 (BM25),BM25+RM3 (Google NMT),2,0.1398,0.2352941176470588,0.4705882352941176,0.6470588235294118,0.7058823529411765,23.53,47.06,64.71,70.59
Skenario 1 (BM25),BM25+RM3 (Google NMT),3,0.1928,0.2352941176470588,0.3529411764705882,0.3529411764705882,0.4117647058823529,23.53,35.29,35.29,41.18
Skenario 2 (Cross-Lingual),Baseline (DistilBERT Base),1,0.0107,0.0,0.0588235294117647,0.0588235294117647,0.2352941176470588,0.0,5.88,5.88,23.53
Skenario 2 (Cross-Lingual),Baseline (DistilBERT Base),2,0.0087,0.0,0.0,0.0588235294117647,0.3529411764705882,0.0,0.0,5.88,35.29
Skenario 2 (Cross-Lingual),Baseline (DistilBERT Base),3,0.0056,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,17.65
Skenario 2 (Cross-Lingual),Fine-Tuned (JH-POLO),1,0.0289,0.0588235294117647,0.1764705882352941,0.2941176470588235,0.7058823529411765,5.88,17.65,29.41,70.59
Skenario 2 (Cross-Lingual),Fine-Tuned (JH-POLO),2,0.0834,0.1176470588235294,0.2352941176470588,0.4117647058823529,0.5882352941176471,11.76,23.53,41.18,58.82
Skenario 2 (Cross-Lingual),Fine-Tuned (JH-POLO),3,0.0428,0.0588235294117647,0.0588235294117647,0.3529411764705882,0.5294117647058824,5.88,5.88,35.29,52.94
Skenario 2 (Cross-Lingual),Baseline (mmBERT-small),1,0.0121,0.0,0.1176470588235294,0.1176470588235294,0.2352941176470588,0.0,11.76,11.76,23.53
Skenario 2 (Cross-Lingual),Baseline (mmBERT-small),2,0.043,0.0588235294117647,0.2352941176470588,0.2941176470588235,0.2941176470588235,5.88,23.53,29.41,29.41
Skenario 2 (Cross-Lingual),Baseline (mmBERT-small),3,0.0103,0.0,0.0588235294117647,0.1176470588235294,0.2352941176470588,0.0,5.88,11.76,23.53
Skenario 2 (Cross-Lingual),mmBERT-small Fine-Tuned (JH-POLO),1,0.1018,0.1764705882352941,0.1764705882352941,0.5294117647058824,0.7058823529411765,17.65,17.65,52.94,70.59
Skenario 2 (Cross-Lingual),mmBERT-small Fine-Tuned (JH-POLO),2,0.1884,0.3529411764705882,0.3529411764705882,0.5294117647058824,0.8235294117647058,35.29,35.29,52.94,82.35
Skenario 2 (Cross-Lingual),mmBERT-small Fine-Tuned (JH-POLO),3,0.0317,0.1176470588235294,0.1764705882352941,0.2352941176470588,0.4705882352941176,11.76,17.65,23.53,47.06
Skenario 2 (Cross-Lingual),Baseline (mmBERT-base),1,0.0075,0.0,0.0,0.0588235294117647,0.2352941176470588,0.0,0.0,5.88,23.53
Skenario 2 (Cross-Lingual),Baseline (mmBERT-base),2,0.0138,0.0,0.1176470588235294,0.1176470588235294,0.1764705882352941,0.0,11.76,11.76,17.65
Skenario 2 (Cross-Lingual),Baseline (mmBERT-base),3,0.0098,0.0,0.0,0.1764705882352941,0.2352941176470588,0.0,0.0,17.65,23.53
Skenario 2 (Cross-Lingual),mmBERT-base Fine-Tuned (JH-POLO),1,0.1176,0.2352941176470588,0.3529411764705882,0.6470588235294118,0.8823529411764706,23.53,35.29,64.71,88.24
Skenario 2 (Cross-Lingual),mmBERT-base Fine-Tuned (JH-POLO),2,0.2014,0.5294117647058824,0.5882352941176471,0.7058823529411765,0.8235294117647058,52.94,58.82,70.59,82.35
Skenario 2 (Cross-Lingual),mmBERT-base Fine-Tuned (JH-POLO),3,0.149,0.2941176470588235,0.5294117647058824,0.6470588235294118,0.8235294117647058,29.41,52.94,64.71,82.35
Skenario 3 (AraDPR),AraDPR (Gemini AI),1,0.1251,0.2352941176470588,0.3529411764705882,0.5294117647058824,0.5294117647058824,23.53,35.29,52.94,52.94
Skenario 3 (AraDPR),AraDPR (Gemini AI),2,0.0776,0.1176470588235294,0.1764705882352941,0.2941176470588235,0.4117647058823529,11.76,17.65,29.41,41.18
Skenario 3 (AraDPR),AraDPR (Gemini AI),3,0.033,0.1176470588235294,0.2352941176470588,0.3529411764705882,0.4117647058823529,11.76,23.53,35.29,41.18
Skenario 3 (AraDPR),AraDPR (Google NMT),1,0.0105,0.0,0.0588235294117647,0.1176470588235294,0.2941176470588235,0.0,5.88,11.76,29.41
Skenario 3 (AraDPR),AraDPR (Google NMT),2,0.07,0.0588235294117647,0.0588235294117647,0.2941176470588235,0.3529411764705882,5.88,5.88,29.41,35.29
Skenario 3 (AraDPR),AraDPR (Google NMT),3,0.0285,0.1764705882352941,0.2352941176470588,0.2352941176470588,0.4117647058823529,17.65,23.53,23.53,41.18
