name,qid,recip_rank,success_10,success_100,success_20,success_50,query_type,query,rank_ditemukan,Hit@10,Hit@20,Hit@50,Hit@100,qid_int
RRF,1,0.02702702702702703,0.0,1.0,0.0,1.0,1,Kewajiban orang tua untuk memerintahkan sholat fardhu kepada anaknya yang telah berumur 7 tahun,37,❌ Miss,❌ Miss,✅ Hit,✅ Hit,1
RRF,4,0.06666666666666667,0.0,1.0,1.0,1.0,1,Kesunnahan membaca basmalah dalam wudhu,15,❌ Miss,✅ Hit,✅ Hit,✅ Hit,4
RRF,7,1.0,1.0,1.0,1.0,1.0,1,Alasan-alasan yang membatalkan wudhu,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,7
RRF,10,0.007518796992481203,0.0,0.0,0.0,0.0,1,Syarat sah sholat yang kedua,133,❌ Miss,❌ Miss,❌ Miss,❌ Miss,10
RRF,13,0.011235955056179775,0.0,1.0,0.0,0.0,1,Tata cara mensucikan najis (air seni) yang telah kering,89,❌ Miss,❌ Miss,❌ Miss,✅ Hit,13
RRF,16,0.023809523809523808,0.0,1.0,0.0,1.0,1,Kewajiban mengingatkan seseorang yang pakaiannya terkena najis,42,❌ Miss,❌ Miss,✅ Hit,✅ Hit,16
RRF,19,1.0,1.0,1.0,1.0,1.0,1,Kesunahan membaca doa qunut di dalam sholat subuh,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,19
RRF,22,0.014705882352941176,0.0,1.0,0.0,0.0,1,Solusi bagi makmum ketika lupa membaca surah al-Fatihah dalam sholat berjamaah,68,❌ Miss,❌ Miss,❌ Miss,✅ Hit,22
RRF,25,0.5,1.0,1.0,1.0,1.0,1,Hukum melakukan sunnah ab'ad yang terlupakan setelah terlanjur melakukan rukun sholat,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,25
RRF,28,0.02702702702702703,0.0,1.0,0.0,1.0,1,Kesunnahan adzan pada selain sholat fardhu,37,❌ Miss,❌ Miss,✅ Hit,✅ Hit,28
RRF,31,0.013513513513513514,0.0,1.0,0.0,0.0,1,Keafdholan melakukan sholat berjamaah di masjid bagi laki-laki,74,❌ Miss,❌ Miss,❌ Miss,✅ Hit,31
RRF,34,0.1111111111111111,1.0,1.0,1.0,1.0,1,Ketidak bolehan mengikuti imam yang ummi,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit,34
RRF,37,0.007142857142857143,0.0,0.0,0.0,0.0,1,Kebolehan mufaroqoh dari jamaah sholat jumat pada rakaat kedua,140,❌ Miss,❌ Miss,❌ Miss,❌ Miss,37
RRF,40,0.5,1.0,1.0,1.0,1.0,1,Kesunnahan imam/khatib ta'khir pada sholat Jumat,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,40
RRF,43,1.0,1.0,1.0,1.0,1.0,1,Keharaman mengkijing/ membangun bangunan permanen di atas kuburan,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,43
RRF,46,0.017543859649122806,0.0,1.0,0.0,0.0,1,Kesunnahan melakukan ziarah kubur bagi laki-laki,57,❌ Miss,❌ Miss,❌ Miss,✅ Hit,46
RRF,49,1.0,1.0,1.0,1.0,1.0,1,Keharaman ta'khir membayar zakat fitrah di hari raya Idul Fitri tanpa adanya uzur,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,49
RRF,52,0.005780346820809248,0.0,0.0,0.0,0.0,1,Memakai gamis saat ihram,173,❌ Miss,❌ Miss,❌ Miss,❌ Miss,52
RRF,55,0.004273504273504274,0.0,0.0,0.0,0.0,1,Syarat-syarat penerima zakat,234,❌ Miss,❌ Miss,❌ Miss,❌ Miss,55
RRF,58,1.0,1.0,1.0,1.0,1.0,1,Barang belum diterima sudah dijual kembali,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,58
RRF,61,0.16666666666666666,1.0,1.0,1.0,1.0,1,Kewajiban orang yang ghasab,6,✅ Hit,✅ Hit,✅ Hit,✅ Hit,61
RRF,64,1.0,1.0,1.0,1.0,1.0,1,Penetapan awal bulan ramadhan ,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,64
RRF,67,0.1111111111111111,1.0,1.0,1.0,1.0,1,Syarat wajib puasa,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit,67
RRF,70,1.0,1.0,1.0,1.0,1.0,1, syarat barang yang sah disewakan,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,70
RRF,73,0.0019120458891013384,0.0,0.0,0.0,0.0,1,mabuk perjalanan saat berpuasa,523,❌ Miss,❌ Miss,❌ Miss,❌ Miss,73
RRF,76,0.047619047619047616,0.0,1.0,0.0,1.0,1,barang yang tidak boleh dipinjamkan,21,❌ Miss,❌ Miss,✅ Hit,✅ Hit,76
RRF,79,0.06666666666666667,0.0,1.0,1.0,1.0,1,jual beli dengan ijab qabul main-main,15,❌ Miss,✅ Hit,✅ Hit,✅ Hit,79
RRF,82,0.01639344262295082,0.0,1.0,0.0,0.0,1,menjual pupuk kandang,61,❌ Miss,❌ Miss,❌ Miss,✅ Hit,82
RRF,85,0.25,1.0,1.0,1.0,1.0,1,berhutang untuk maksiat,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit,85
RRF,88,0.008064516129032258,0.0,0.0,0.0,0.0,1,menggadaikan barang pinjaman ,124,❌ Miss,❌ Miss,❌ Miss,❌ Miss,88
RRF,91,0.09090909090909091,0.0,1.0,1.0,1.0,1,hantaran lamaran ,11,❌ Miss,✅ Hit,✅ Hit,✅ Hit,91
RRF,94,0.05555555555555555,0.0,1.0,1.0,1.0,1,wasiatnya anak kecil,18,❌ Miss,✅ Hit,✅ Hit,✅ Hit,94
RRF,97,0.018518518518518517,0.0,1.0,0.0,0.0,1,melihat kelamin perempuan yang belum baligh,54,❌ Miss,❌ Miss,❌ Miss,✅ Hit,97
RRF,100,1.0,1.0,1.0,1.0,1.0,1,mahar tidak disebutkan ketika akad nikah,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,100
RRF,103,0.25,1.0,1.0,1.0,1.0,1,Diyat unta untuk pelaku pembunuhan,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit,103
RRF,106,0.0196078431372549,0.0,1.0,0.0,0.0,1,nikahnya perempuan dzimmi,51,❌ Miss,❌ Miss,❌ Miss,✅ Hit,106
RRF,109,0.5,1.0,1.0,1.0,1.0,1,orang-orang yang tidak boleh menjadi wali nikah,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,109
RRF,112,0.045454545454545456,0.0,1.0,0.0,1.0,1,hukum laki-laki memandang ajnabi,22,❌ Miss,❌ Miss,✅ Hit,✅ Hit,112
RRF,115,0.0017605633802816902,0.0,0.0,0.0,0.0,1,mahar misil,568,❌ Miss,❌ Miss,❌ Miss,❌ Miss,115
RRF,118,0.005952380952380952,0.0,0.0,0.0,0.0,1,Walimah ursy,168,❌ Miss,❌ Miss,❌ Miss,❌ Miss,118
RRF,121,0.025,0.0,1.0,0.0,1.0,1,definisi khulu',40,❌ Miss,❌ Miss,✅ Hit,✅ Hit,121
RRF,124,0.004524886877828055,0.0,0.0,0.0,0.0,1,Talak,221,❌ Miss,❌ Miss,❌ Miss,❌ Miss,124
RRF,127,0.0018148820326678765,0.0,0.0,0.0,0.0,1,Syarat Ruju',551,❌ Miss,❌ Miss,❌ Miss,❌ Miss,127
RRF,130,0.05555555555555555,0.0,1.0,1.0,1.0,1,Iddahnya perempuan yang ditinggal suaminya,18,❌ Miss,✅ Hit,✅ Hit,✅ Hit,130
RRF,133,0.5,1.0,1.0,1.0,1.0,1,Definisi Riddah,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,133
RRF,136,0.5,1.0,1.0,1.0,1.0,1,penyebab faskh nikah,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,136
RRF,139,0.3333333333333333,1.0,1.0,1.0,1.0,1,syarat menjadi Qodli,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit,139
RRF,142,0.004273504273504274,0.0,0.0,0.0,0.0,1,Hadiyyah Qodli,234,❌ Miss,❌ Miss,❌ Miss,❌ Miss,142
RRF,145,0.019230769230769232,0.0,1.0,0.0,0.0,1,perkara-perkara yang wajib dilaporkan ke hakim,52,❌ Miss,❌ Miss,❌ Miss,✅ Hit,145
RRF,148,0.007633587786259542,0.0,0.0,0.0,0.0,1,Syahadah terhadap perzinaan,131,❌ Miss,❌ Miss,❌ Miss,❌ Miss,148
RRF,151,0.5,1.0,1.0,1.0,1.0,1,Qosam dengan lafadh selain nama Allah,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,151
RRF,2,0.3333333333333333,1.0,1.0,1.0,1.0,2,Bagaimana hukum memerintahkan sholat lima waktu bagi orang tua kepada anak?,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit,2
RRF,5,0.1111111111111111,1.0,1.0,1.0,1.0,2,Bagaimana hukum membaca basmalah di tengah-tengah wudhu?,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit,5
RRF,8,1.0,1.0,1.0,1.0,1.0,2,Apakah darah yang keluar dari anus (dubur) karena penyakit wasir (ambeien) dapat membatalkan wudhu?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,8
RRF,11,1.0,1.0,1.0,1.0,1.0,2,Bagaimana hukum melakukan sholat dengan memakai pakaian najis dalam keadaan lupa? ,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,11
RRF,14,0.01020408163265306,0.0,1.0,0.0,0.0,2,Bagaiamana cara mensucikan najis berupa air seni yang telah mengering di lantai?,98,❌ Miss,❌ Miss,❌ Miss,✅ Hit,14
RRF,17,0.05,0.0,1.0,1.0,1.0,2,"Bagaiamana hukum mengingatkan seseorang yang hendak melaksanakan sholat, sedang pakaiannya terkena najis?",20,❌ Miss,✅ Hit,✅ Hit,✅ Hit,17
RRF,20,1.0,1.0,1.0,1.0,1.0,2,Apa hukum membaca doa qunut di dalam sholat subuh?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,20
RRF,23,0.01639344262295082,0.0,1.0,0.0,0.0,2,Apa yang harus dilakukan makmum ketika lupa membaca surah al-Fatihah dalam sholat berjamaah?,61,❌ Miss,❌ Miss,❌ Miss,✅ Hit,23
RRF,26,0.3333333333333333,1.0,1.0,1.0,1.0,2,"Bagaimana hukum kembali melakukan tasyahud awal yang terlupakan, setelah terlanjur berdiri pada rakaat ketiga?",3,✅ Hit,✅ Hit,✅ Hit,✅ Hit,26
RRF,29,0.1111111111111111,1.0,1.0,1.0,1.0,2,Apakah hukum melakukan adzan pada selain sholat lima waktu? ,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit,29
RRF,32,0.0196078431372549,0.0,1.0,0.0,0.0,2,Apakah melakukan sholat berjamaah di masjid lebih utama dibandingkan di rumah bagi seorang laki-laki?,51,❌ Miss,❌ Miss,❌ Miss,✅ Hit,32
RRF,35,0.07142857142857142,0.0,1.0,1.0,1.0,2,Apakah seseorang yang bacaan al-fatihahnya baik diperbolehkan mengikuti seorang imam yang bacaan al-fatihahnya buruk? ,14,❌ Miss,✅ Hit,✅ Hit,✅ Hit,35
RRF,38,0.0056179775280898875,0.0,0.0,0.0,0.0,2,Apakah memisahkan diri dari sholat jamaah jumat di rakaat kedua diperbolehkan?,178,❌ Miss,❌ Miss,❌ Miss,❌ Miss,38
RRF,41,0.3333333333333333,1.0,1.0,1.0,1.0,2,Bagaimana hukum mengakhirkan kedatangan bagi imam/khatib dalam pelaksanaan sholat Jumat ?,3,✅ Hit,✅ Hit,✅ Hit,✅ Hit,41
RRF,44,1.0,1.0,1.0,1.0,1.0,2,Bagaimana hukum mengkijing/ membangun bangunan permanen di atas kuburan?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,44
RRF,47,0.017543859649122806,0.0,1.0,0.0,0.0,2,Apa hukum melakukan ziarah kubur bagi laki-laki?,57,❌ Miss,❌ Miss,❌ Miss,✅ Hit,47
RRF,50,0.5,1.0,1.0,1.0,1.0,2,Apakah diperbolehkah mengakhirkan membayar zakat fitrah tanpa adanya halangan?,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,50
RRF,53,0.01,0.0,1.0,0.0,0.0,2,Apa denda bagi orang yang melakukan perbuatan yang diharamkan ketika haji?,100,❌ Miss,❌ Miss,❌ Miss,✅ Hit,53
RRF,56,0.013888888888888888,0.0,1.0,0.0,0.0,2,Apa hukum memberikan zakat kepada orang kafir?,72,❌ Miss,❌ Miss,❌ Miss,✅ Hit,56
RRF,59,1.0,1.0,1.0,1.0,1.0,2,kapan pembeli dianggap menerima rumah yang ia beli?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,59
RRF,62,0.2,1.0,1.0,1.0,1.0,2,hukum menggunakan barang orang lain tanpa izin,5,✅ Hit,✅ Hit,✅ Hit,✅ Hit,62
RRF,65,1.0,1.0,1.0,1.0,1.0,2,Kapan pertama kali puasa ramadhan diwajibkan dalam Islam?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,65
RRF,68,0.1,1.0,1.0,1.0,1.0,2,Mengapa wanita yang sedang haid atau nifas dilarang untuk berpuasa?,10,✅ Hit,✅ Hit,✅ Hit,✅ Hit,68
RRF,71,1.0,1.0,1.0,1.0,1.0,2,Bolehkah menyewa seseorang hanya untuk menawarkan barang dagangan?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,71
RRF,74,0.0017301038062283738,0.0,0.0,0.0,0.0,2,apakah mimpi basah dapat membatalkan puasa?,578,❌ Miss,❌ Miss,❌ Miss,❌ Miss,74
RRF,77,0.005235602094240838,0.0,0.0,0.0,0.0,2,apa yang menjadi tanggung jawab peminjam saat barang pinjaman rusak?,191,❌ Miss,❌ Miss,❌ Miss,❌ Miss,77
RRF,80,0.09090909090909091,0.0,1.0,1.0,1.0,2,mengapa pada jual beli harus ada akad?,11,❌ Miss,✅ Hit,✅ Hit,✅ Hit,80
RRF,83,0.010752688172043012,0.0,1.0,0.0,0.0,2,apa hukum membeli barang yang belum pernah dilihat oleh pembeli?,93,❌ Miss,❌ Miss,❌ Miss,✅ Hit,83
RRF,86,0.25,1.0,1.0,1.0,1.0,2,mana yang lebih utama antara memberikan hutang atau bersedekah?,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit,86
RRF,89,0.006896551724137931,0.0,0.0,0.0,0.0,2,apakah bisa orang tua menggadaikan harta anaknya?,145,❌ Miss,❌ Miss,❌ Miss,❌ Miss,89
RRF,92,1.0,1.0,1.0,1.0,1.0,2,bolehkan menerima pemberian dari orang yang telah kita selamatkan?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,92
RRF,95,0.5,1.0,1.0,1.0,1.0,2,berapa batas maksimal wasiat?,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,95
RRF,98,0.005405405405405406,0.0,0.0,0.0,0.0,2,apakah suara perempuan termasuk aurat?,185,❌ Miss,❌ Miss,❌ Miss,❌ Miss,98
RRF,101,1.0,1.0,1.0,1.0,1.0,2,bagaimana jika salah menyebutkan nama calon istri ketika qabul nikah?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,101
RRF,104,0.013513513513513514,0.0,1.0,0.0,0.0,2,bagaimana jika seseorang yang terkena denda berupa unta tapi dia tidak menemukan unta di daerahnya?,74,❌ Miss,❌ Miss,❌ Miss,✅ Hit,104
RRF,107,0.1111111111111111,1.0,1.0,1.0,1.0,2,Apa saja syarat perempuan yang boleh dinikahi,9,✅ Hit,✅ Hit,✅ Hit,✅ Hit,107
RRF,110,0.5,1.0,1.0,1.0,1.0,2,Apa saja syarat wali nikah,2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,110
RRF,113,0.024390243902439025,0.0,1.0,0.0,1.0,2,Bagaimana hukum melihat alat kelamin anak kecil?,41,❌ Miss,❌ Miss,✅ Hit,✅ Hit,113
RRF,116,0.003389830508474576,0.0,0.0,0.0,0.0,2,Apa itu maskawin sepadan?,295,❌ Miss,❌ Miss,❌ Miss,❌ Miss,116
RRF,119,0.25,1.0,1.0,1.0,1.0,2,Bagaimana hukum resepsi pernikahan,4,✅ Hit,✅ Hit,✅ Hit,✅ Hit,119
RRF,122,1.0,1.0,1.0,1.0,1.0,2,Apa hukum cerai tebus,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,122
RRF,125,0.011235955056179775,0.0,1.0,0.0,0.0,2,Apa hukum perceraian?,89,❌ Miss,❌ Miss,❌ Miss,✅ Hit,125
RRF,128,0.008620689655172414,0.0,0.0,0.0,0.0,2,Apa saja syarat rujuk setelah bercerai?,116,❌ Miss,❌ Miss,❌ Miss,❌ Miss,128
RRF,131,0.038461538461538464,0.0,1.0,0.0,1.0,2,Apa saja pantangan bagi seorang perempuan yang ditinggal mati suaminya?,26,❌ Miss,❌ Miss,✅ Hit,✅ Hit,131
RRF,134,0.2,1.0,1.0,1.0,1.0,2,Apa tebusan yang perlu dikeluarkan oleh seseorang yang membunuh orang islam secara sengaja?,5,✅ Hit,✅ Hit,✅ Hit,✅ Hit,134
RRF,137,1.0,1.0,1.0,1.0,1.0,2,Bagaimana hukum membatalkan pernikahan yang diajukan oleh istri karena suami tidak mampu mencukupi kebutuhan istri,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,137
RRF,140,1.0,1.0,1.0,1.0,1.0,2,Apa saja syarat seorang hakim dalam sistem hukum Islam?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,140
RRF,143,0.01639344262295082,0.0,1.0,0.0,0.0,2,Bagaimana hukum gratifikasi terhadap hakim yang memutuskan perkara?,61,❌ Miss,❌ Miss,❌ Miss,✅ Hit,143
RRF,146,1.0,1.0,1.0,1.0,1.0,2,Bagaimana hukum mengambil barang milik orang yang memiliki hutang dengan kita namun tidak kunjung membayar?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,146
RRF,149,0.07142857142857142,0.0,1.0,1.0,1.0,2,Berapa orang saksi dibutuhkan dalam perkara ketetapan awal bulan puasa?,14,❌ Miss,✅ Hit,✅ Hit,✅ Hit,149
RRF,152,1.0,1.0,1.0,1.0,1.0,2,Bagaimana hukum bersumpah menggunakan makhluk?,1,✅ Hit,✅ Hit,✅ Hit,✅ Hit,152
RRF,3,0.125,1.0,1.0,1.0,1.0,3,"Pak Arif mempunyai dua anak. Anak yang pertama berumur 7 tahun, sedangkan anak kedua baru berumur 5 tahun. Apakah Pak Arif berkewajiban memerintahkan sholat lima waktu kepada kedua anaknya?",8,✅ Hit,✅ Hit,✅ Hit,✅ Hit,3
RRF,6,0.3333333333333333,1.0,1.0,1.0,1.0,3,"Fahmi merupakan santri yang selalu melakukan kesunnahan ketika berwudhu, mulai dari membaca basmalah, berkumur, memasukkan air ke dalam hidung dan kesunnahan-kesunnahan lainnya. Suatu ketika, Fahmi lupa melakukan membaca basmalah di awal wudhu, dan ia teringat setelah berada di tengah-tengah wudhu. Apakah Fahmi tetap disunnahkan membaca basmalah?",3,✅ Hit,✅ Hit,✅ Hit,✅ Hit,6
RRF,9,0.5,1.0,1.0,1.0,1.0,3,"Siti merupakan pasien penderita penyakit wasir (ambeien). Menurut penjelasan dokter, Penyakit ambeien adalah munculnya benjolan di anus dan rektum bagian bawah yang bisa menyebabkan rasa sakit, gatal bahkan pendarahan pada dubur. Benjolan yang muncul tersebut merupakan pembuluh darah vena di sekitar anus dan rektum yang membengkak. Suatu hari ketika Siti hendak melaksanakan sholat, ia mendapati bahwa duburnya terjadi pendaharan akibat penyakit wasir (ambeien) tersebut. Sesuai kronologi tersebut, apakah wudhu yang dilakukan Siti menjadi batal?",2,✅ Hit,✅ Hit,✅ Hit,✅ Hit,9
RRF,12,0.3333333333333333,1.0,1.0,1.0,1.0,3,"Pak Imam merupakan salah seorang yang sangat berhati-hati dalam menjaga kesucian pakaiannya dalam sholat. Suatu ketika, ia melakukan sholat dzuhur, namun ia lupa bahwa pakaian yang dikenakannya sudah terkena kotoran burung saat ia berada dalam perjalanan menuju rumah.  Sahkah sholat yang dilakukan oleh Pak Imam?",3,✅ Hit,✅ Hit,✅ Hit,✅ Hit,12
RRF,15,0.014925373134328358,0.0,1.0,0.0,0.0,3,Nabila merupakan seorang pecinta kucing. Kecintaannya terhadap kucing membuatnya memelihara beberapa kucing yang diletakkan di salah satu ruangan di rumahnya. Ruangan tersebut tentunya tidak bisa terhindarkan dari bekas air seni kucing yang telah mengering. Bagaimana cara mensucikan air seni kucing yang telah mengering tersebut?,67,❌ Miss,❌ Miss,❌ Miss,✅ Hit,15
RRF,18,0.03571428571428571,0.0,1.0,0.0,1.0,3,"Suatu ketka, saat Mas Agil ingin melaksanakan sholat jamaah di Masjid, ia mengetahui ada najis yang menempel di pakaian salah satu seseorang yang sedang sholat. Apa yang harus dilakukan Mas Agil apabila ia mengetahui ada najis yang menempel di pakaian seseorang yang sedang sholat?",28,❌ Miss,❌ Miss,✅ Hit,✅ Hit,18
