model,qid,query,success,n_retrieved
BM25,1,لبس جلباب اثناء احرام,0,10
BM25,2,ما هي غرام من يرتكب محرم اثناء حج؟,0,10
BM25,3,كان ريح يود ريض حج، وفي منتصف حج فقد ملابس احرام ولم يجد غير ملابس مخيطة، فهل علي عقوبات؟,0,10
BM25,4,شروط استحقاق زكا,1,10
BM25,5,ما حكم اعطاء زكا لكافرين؟,0,10
BM25,6,كري عضو في جنة تلق توزيع زكا في قريته. وفي احد ايام اعطا زكا رجل قير اكتشف يما بعد انه لا يزال ديه اطفال يستطيع اعالته. هل توزيع زكا حلال؟,0,0
BM25,7,تم اعاد بيع ضايع تي لم يتم استلام بعد,0,10
BM25,8,متا يعتبر مشتر قد استلم منزل ذي اشتراه؟,1,10
BM25,9,اشترت ضياء يلوغراما احدا من بيض صنع خبز. عندما قام ايع تسليم بيض في رقعة، اسقط ايع عن طريق خطا قبل ان يستلم ضياء عليا. وفي مثل هذه ظروف من يتحمل خسارة؟,0,0
BM25,10,تزام شخص همي,0,10
BM25,11,قان استخدام اشياء اخر دون اذن,1,10
BM25,12,في قطار مساف طويلة، يقوم راكب غير قان ليس ديه تذكر مقعد طرد ركاب ذين انوا جالس الفعل فقا رقم مقعد ثم ياخذ مقعدهم. ما هو حال افعاله؟,0,0
BM25,13,تحديد داي شهر رمض,1,10
BM25,14,متا كان صيام رمض مطلوبا اول مرة في اسلام؟,0,10
BM25,15,يزعم علماء فلك في صين - غالبيت من غير مسلم - ان راوا هلال جديد، سرع ما انتشر هذا خبر بين سك صين مسلمين، فهل يمكن استخدام هذه معلوم اساس تحديد داي شهر؟,0,0
BM25,16,Syarat wajib puasa,0,0
BM25,17,ماذا تمنع حايض او نفاس من صيام؟,0,10
BM25,18,مسلم يتسحر وهو يريد ان يقوا علا صيام، كنه ينسا ان ينقل نية صيام اجب في قلبه. فهل صيام صحيح؟,0,0
BM25,19,شروط تاجير ضايع قانونيا,0,10
BM25,20,هل من مقبول استيجار شخص فقط عرض ضايع؟,1,10
BM25,21,طلب من احد Langgaran kiai مساعد في عمل عقد زواج من خلال توج زوج محتمل تلاو قبول زواج اللغ عربية. بعد اتمام عقد، طلب هذا شخص مبلغا معي من مال مقابل هذه خدمة. وما حكم اخذ اجر في هذه حالة؟,0,0
BM25,22,دوار حرك اثناء صيام,0,10
BM25,23,هل احتلام يفطر صيام؟,1,10
BM25,24,انه كان لا يزال متزوجا حديثا، لم يستطع ماس جيكو ان يمنع نفس من استمرار في تقبيل زوجت اثناء صيام في شهر رمض حتا خرج سايل منو منه. فهل ما زال صوم صحيحا؟,0,0
BM25,25,عناصر تي لا يمكن اعارت,0,10
BM25,26,ما هي مسوول مقترض عند تلف سلع مقترضة؟,0,10
BM25,27,دا دونو اخو متباعد جدا في عمر، حاليا تبلغ دا 28 عاما ينما لا يزال دونو يبلغ من عمر 8 سنوات. في احد ايام، طلبت دا من شقيق اصغر، دونو، استعار اميرا من عمهما. تمكن دونو من حصول علا اميرا من عمه. وفي طريق عودت سقطت اميرا تضررت. في مثل هذه ظروف من مسوول عن ضرر؟,0,4
BM25,28,بيع الشراء اتفاق مرح,0,10
BM25,29,ماذا لا بد من عقد في بيع الشراء؟,0,10
BM25,30,تطبق مدرس Harapan Bangsa متوسط مفهوم Honesty Canteen تشكيل شخص طلاب الا افراد صادقين. يوفر هذا مقصف جميع احتياج طلاب اسعار موضح وضوح في قايمة. يقوم طلاب بساط وضع مبلغ من مال يساو قيم عناصر مشترا في مساح متوفرة. هذا شرط يثير مخاوف حول ما اذا كان بيع الشراء ذي يقوم به مشروعا، مع انه لا يوجد اتفاق او قبول يه؟,0,0
BM25,31,بيع سماد,0,10
BM25,32,ما حكم شراء ضاع لم يرا مشتر من قبل؟,0,10
BM25,33,مزارع شاب يبيع محصول من حبوب هوا جمع. فهو يعرض فقط بعض حبوب مثال اقناع مشتر جودتها، ينما تبقا قية حبوب في اكياس مغلق احكام. وفي هذه حال هل يصح بيع الشراء؟,0,0
BM25,34,دي لفجور,0,10
BM25,35,ايهما اهم اداء دين ام صدقة؟,0,10
BM25,36,فقط اطلق علي توني، فهو تاجر ناجح ديه خبر بير في بيع شراء عقارات. في احد ايام، اصبح لدا تون صديق قديم يحب لعب ماكين قمار او مقامر عبر انترنت، يدعا جوكو. تم كشف بعد ذلك عن هدف جوكو وهو دين قيم 15 مليو وعد سداد بعد اسبوع. هل يستطيع تون اعطاء دين جوكو عندما يك هناك احتمال بير بان جوكو لن يدفعه؟,0,1
BM25,37,رهن ضايع مقترض,1,10
BM25,38,هل يمكن لوالد رهن ممتلك طفلهما؟,1,10
BM25,39,نظرا لان نمو سك كان سريعا جدا، ارادت احدا قرا تجديد مسجد الا طابقين، وهو ما سيكلف ثير اذا حسبته. بعد مداولة، يتم اخذ هذه تكاليف من خز مسجد ومن تبرع مجتمع. صرف نظر عن ذلك، انت هناك رغب في رهن حقول ارز قفي تكاليف تجديد اضافية. هل هذا اجراء مسموح به؟,0,0
BM25,40,تسليم تطبيق,0,10
BM25,41,هل يجوز قبول هدايا من اشخاص ذين انقذناهم؟,0,10
BM25,42,تقدم راف خطب امرا احب حقا. نوع من جديته، قام تسليم 10 ملاي روب هدايا اخرا متنوع زوجت مستقبل عن طريق ولي امره. لكن علا راف ان يتقبل اقع مرير، فحب راف من طرف احد. اتضح ان زوجت مستقبل دي الفعل مرشح اكثر ملاءم في رايه. هل يحق رافع ان يطلب اموال الهدايا تي قدمها؟,0,1
BM25,43,صيت طفل صغير,0,10
BM25,44,ما هو حد اقصا لوصية؟,0,10
BM25,45,حسن رجل اعمال لوجب سريع يع من مرض خطير. اصول حوال 15 مليار. اراد ان يتبرع بعض ثروت بناء مسجد في قريته. سلم حسن في صيت 7.5 مليار تسليم لمسجد. هل يمكن تنفيذ صية هذه ام ان هناك قيود معينة؟,0,10
BM25,46,نظر الا عور مرا تي لم تبلغ بعد,1,10
BM25,47,هل يعتبر صوت مرا حميميا؟,1,10
BM25,48,كان رحمت يحضر حفل يمة خاص اخيه، عندما جلس الخطا امام تاة اجنبية. شعر ان هناك رصة انه نظر الا هذه تاة مرارا تكرارا، علا رغم من عدم جود حاج ملح رويتها. في ظل هذه ظروف، ما هو وضع قان اراء رحمت؟,0,0
BM25,49,ولا يذكر مهر اثناء مراسم زواج,0,10
BM25,50,ماذا لو قلت اسم زوجتك مستقبل شكل خاط اثناء حفل زواج؟,1,10
BM25,51,تزوج هارتونو من ليم حضور ولي امر شاهدين، لكن بعد عقد زواج اعترف ليم انه لم يكمل ترة عدة من زواج سابق. ما هو وضع عقد زواج هارتونو؟,0,0
BM25+RM3,1,لبس جلباب اثناء احرام,1,10
BM25+RM3,2,ما هي غرام من يرتكب محرم اثناء حج؟,0,10
BM25+RM3,3,كان ريح يود ريض حج، وفي منتصف حج فقد ملابس احرام ولم يجد غير ملابس مخيطة، فهل علي عقوبات؟,1,10
BM25+RM3,4,شروط استحقاق زكا,1,10
BM25+RM3,5,ما حكم اعطاء زكا لكافرين؟,0,10
BM25+RM3,6,كري عضو في جنة تلق توزيع زكا في قريته. وفي احد ايام اعطا زكا رجل قير اكتشف يما بعد انه لا يزال ديه اطفال يستطيع اعالته. هل توزيع زكا حلال؟,0,0
BM25+RM3,7,تم اعاد بيع ضايع تي لم يتم استلام بعد,0,10
BM25+RM3,8,متا يعتبر مشتر قد استلم منزل ذي اشتراه؟,1,10
BM25+RM3,9,اشترت ضياء يلوغراما احدا من بيض صنع خبز. عندما قام ايع تسليم بيض في رقعة، اسقط ايع عن طريق خطا قبل ان يستلم ضياء عليا. وفي مثل هذه ظروف من يتحمل خسارة؟,0,0
BM25+RM3,10,تزام شخص همي,0,10
BM25+RM3,11,قان استخدام اشياء اخر دون اذن,0,10
BM25+RM3,12,في قطار مساف طويلة، يقوم راكب غير قان ليس ديه تذكر مقعد طرد ركاب ذين انوا جالس الفعل فقا رقم مقعد ثم ياخذ مقعدهم. ما هو حال افعاله؟,0,0
BM25+RM3,13,تحديد داي شهر رمض,1,10
BM25+RM3,14,متا كان صيام رمض مطلوبا اول مرة في اسلام؟,1,10
BM25+RM3,15,يزعم علماء فلك في صين - غالبيت من غير مسلم - ان راوا هلال جديد، سرع ما انتشر هذا خبر بين سك صين مسلمين، فهل يمكن استخدام هذه معلوم اساس تحديد داي شهر؟,0,0
BM25+RM3,16,Syarat wajib puasa,0,0
BM25+RM3,17,ماذا تمنع حايض او نفاس من صيام؟,0,10
BM25+RM3,18,مسلم يتسحر وهو يريد ان يقوا علا صيام، كنه ينسا ان ينقل نية صيام اجب في قلبه. فهل صيام صحيح؟,0,0
BM25+RM3,19,شروط تاجير ضايع قانونيا,0,10
BM25+RM3,20,هل من مقبول استيجار شخص فقط عرض ضايع؟,1,10
BM25+RM3,21,طلب من احد Langgaran kiai مساعد في عمل عقد زواج من خلال توج زوج محتمل تلاو قبول زواج اللغ عربية. بعد اتمام عقد، طلب هذا شخص مبلغا معي من مال مقابل هذه خدمة. وما حكم اخذ اجر في هذه حالة؟,0,0
BM25+RM3,22,دوار حرك اثناء صيام,0,10
BM25+RM3,23,هل احتلام يفطر صيام؟,1,10
BM25+RM3,24,انه كان لا يزال متزوجا حديثا، لم يستطع ماس جيكو ان يمنع نفس من استمرار في تقبيل زوجت اثناء صيام في شهر رمض حتا خرج سايل منو منه. فهل ما زال صوم صحيحا؟,0,0
BM25+RM3,25,عناصر تي لا يمكن اعارت,0,10
BM25+RM3,26,ما هي مسوول مقترض عند تلف سلع مقترضة؟,0,10
BM25+RM3,27,دا دونو اخو متباعد جدا في عمر، حاليا تبلغ دا 28 عاما ينما لا يزال دونو يبلغ من عمر 8 سنوات. في احد ايام، طلبت دا من شقيق اصغر، دونو، استعار اميرا من عمهما. تمكن دونو من حصول علا اميرا من عمه. وفي طريق عودت سقطت اميرا تضررت. في مثل هذه ظروف من مسوول عن ضرر؟,0,10
BM25+RM3,28,بيع الشراء اتفاق مرح,0,10
BM25+RM3,29,ماذا لا بد من عقد في بيع الشراء؟,0,10
BM25+RM3,30,تطبق مدرس Harapan Bangsa متوسط مفهوم Honesty Canteen تشكيل شخص طلاب الا افراد صادقين. يوفر هذا مقصف جميع احتياج طلاب اسعار موضح وضوح في قايمة. يقوم طلاب بساط وضع مبلغ من مال يساو قيم عناصر مشترا في مساح متوفرة. هذا شرط يثير مخاوف حول ما اذا كان بيع الشراء ذي يقوم به مشروعا، مع انه لا يوجد اتفاق او قبول يه؟,0,0
BM25+RM3,31,بيع سماد,0,10
BM25+RM3,32,ما حكم شراء ضاع لم يرا مشتر من قبل؟,0,10
BM25+RM3,33,مزارع شاب يبيع محصول من حبوب هوا جمع. فهو يعرض فقط بعض حبوب مثال اقناع مشتر جودتها، ينما تبقا قية حبوب في اكياس مغلق احكام. وفي هذه حال هل يصح بيع الشراء؟,0,0
BM25+RM3,34,دي لفجور,0,10
BM25+RM3,35,ايهما اهم اداء دين ام صدقة؟,0,10
BM25+RM3,36,فقط اطلق علي توني، فهو تاجر ناجح ديه خبر بير في بيع شراء عقارات. في احد ايام، اصبح لدا تون صديق قديم يحب لعب ماكين قمار او مقامر عبر انترنت، يدعا جوكو. تم كشف بعد ذلك عن هدف جوكو وهو دين قيم 15 مليو وعد سداد بعد اسبوع. هل يستطيع تون اعطاء دين جوكو عندما يك هناك احتمال بير بان جوكو لن يدفعه؟,0,10
BM25+RM3,37,رهن ضايع مقترض,1,10
BM25+RM3,38,هل يمكن لوالد رهن ممتلك طفلهما؟,0,10
BM25+RM3,39,نظرا لان نمو سك كان سريعا جدا، ارادت احدا قرا تجديد مسجد الا طابقين، وهو ما سيكلف ثير اذا حسبته. بعد مداولة، يتم اخذ هذه تكاليف من خز مسجد ومن تبرع مجتمع. صرف نظر عن ذلك، انت هناك رغب في رهن حقول ارز قفي تكاليف تجديد اضافية. هل هذا اجراء مسموح به؟,0,0
BM25+RM3,40,تسليم تطبيق,0,10
BM25+RM3,41,هل يجوز قبول هدايا من اشخاص ذين انقذناهم؟,0,10
BM25+RM3,42,تقدم راف خطب امرا احب حقا. نوع من جديته، قام تسليم 10 ملاي روب هدايا اخرا متنوع زوجت مستقبل عن طريق ولي امره. لكن علا راف ان يتقبل اقع مرير، فحب راف من طرف احد. اتضح ان زوجت مستقبل دي الفعل مرشح اكثر ملاءم في رايه. هل يحق رافع ان يطلب اموال الهدايا تي قدمها؟,0,10
BM25+RM3,43,صيت طفل صغير,0,10
BM25+RM3,44,ما هو حد اقصا لوصية؟,0,10
BM25+RM3,45,حسن رجل اعمال لوجب سريع يع من مرض خطير. اصول حوال 15 مليار. اراد ان يتبرع بعض ثروت بناء مسجد في قريته. سلم حسن في صيت 7.5 مليار تسليم لمسجد. هل يمكن تنفيذ صية هذه ام ان هناك قيود معينة؟,0,10
BM25+RM3,46,نظر الا عور مرا تي لم تبلغ بعد,1,10
BM25+RM3,47,هل يعتبر صوت مرا حميميا؟,1,10
BM25+RM3,48,كان رحمت يحضر حفل يمة خاص اخيه، عندما جلس الخطا امام تاة اجنبية. شعر ان هناك رصة انه نظر الا هذه تاة مرارا تكرارا، علا رغم من عدم جود حاج ملح رويتها. في ظل هذه ظروف، ما هو وضع قان اراء رحمت؟,0,0
BM25+RM3,49,ولا يذكر مهر اثناء مراسم زواج,1,10
BM25+RM3,50,ماذا لو قلت اسم زوجتك مستقبل شكل خاط اثناء حفل زواج؟,1,10
BM25+RM3,51,تزوج هارتونو من ليم حضور ولي امر شاهدين، لكن بعد عقد زواج اعترف ليم انه لم يكمل ترة عدة من زواج سابق. ما هو وضع عقد زواج هارتونو؟,0,0
