pos_id,neg_id,bm25_pos_score,bm25_neg_score,score_ratio,lcs_ratio,pos_text_snippet,neg_text_snippet
Page_V01P117,Page_V01P118,737.439,170.6569,0.2314,0.0033," 8- وجلوس بينهما ولا يطوله ولا اعتدالا وسن فيه وتشهد
 أول افتراش واضعا كفيه قريب..."," وجلسة استراحة لقيام.
 | 9- 
 وطمأنينة في كل.
 | 10- 
 وتشهد أخير وأقله التحيات ..."
Page_V01P388,Page_V01P387,493.9689,88.855,0.1799,0.0091," 000000000000000000000000000000000
  ولو أخذ كوزا من سقاء ليشرب منه
 فوقع من يده..."," ولكل رجوع
  الملك وخالف القاضي فقال إنها على
 المستعير.
 وجاز لكل من المعير وال..."
Page_V01P605,Page_V01P604,663.5915,120.3262,0.1813,0.0023," وقبله يعصم دما ومالا,
  صغيرا ثم حكم بإسلامه تبعا لأصله
 جاز سبيه واسترقاقه ويب..."," ولإمام خيار في كامل بين قتل ومن وفداء واسترقاق
 وإسلام كافر بعد أسر يعصم دمه,
 ..."
Page_V01P243,Page_V01P248,663.1275,157.2788,0.2372,0.0049," 
 | فصل في أداء الزكاة
 يجب أداءها فورا بتمكن بحضور مال ومستحقيها وحلول دين مع ..."," لا تعجيلها لعامين وحرم تأخيرها وضمن إن تلف بعد
 تمكن.
 | 2- 
 وإعطاؤها لمستحقيه..."
Page_V01P661,Page_V01P660,722.4483,159.7034,0.2211,0.004," 000000000000000000000000000000000
  فوضته إليك أو شهد واحد باستيفاء
 الدين والآ..."," ويكفي فرعان لأصلين.
  ويكفي فرعان لأصلين أي لكل منهما
 فلا يشترط لكل منهما فرعا..."
Page_V01P583,Page_V01P584,772.7329,128.6014,0.1664,0.0042," ويقطع بمال وقف ومسجد لا حصره ولا بمال صدقة وهو
 مستحق ومصالح وبعض وسيد والأظهر ..."," فيده اليسرى فرجله اليمنى ثم عزر وتثبت برجلين وإقرار
 وبيمين رد وقبل رجوع مقر وم..."
Page_V01P062,Page_V01P061,705.7866,126.889,0.1798,0.0035," ببطن كف 4- وتلاقي بشرتي ذكر وأنثى
  وخرج بآدمي فرج البهيمة إذ لا
 يشتهى ومن ثم ..."," لا بنوم ممكن مقعده 3- ومس فرج آدمي
  نوم للخبر الصحيح: ""فمن نام
 فليتوضأ"" [أبو ..."
Page_V01P575,Page_V01P576,747.3964,161.2885,0.2158,0.0021," يجلد إمام حرا مكلفا زنى مئة ويغرب عاما إن كان بكرا
 لا مع ظن حل أو مع تحليل عال..."," ويرجم محصنا,
  ويحد في مستأجرة للزنا بها إذ لا
 شبهة لعدم الاعتداد بالعقد الباط..."
Page_V01P234,Page_V01P319,700.3454,95.3734,0.1362,0.0032," 000000000000000000000000000000000
  مثقال للنهي عن اتخاذه مثقالا
 [صحيح ابن حبا..."," ومصحف وفي معقود ملك له عليه
  وكذا يشترط أيضا: إسلام لتملك مرتد
 على المعتمد لك..."
Page_V01P267,Page_V01P266,627.6611,124.4372,0.1983,0.005," 00000000000000000000000000000000
  وبالصرف المختلط بطاهر آخر فيفطر
 من ابتلع ري..."," ولا بريق طاهر صرف من معدنه,
  وخرج بالعين: الأثر كوصول الطعم
 بالذوق إلى حلقه.
..."
Page_V01P041,Page_V01P044,639.2292,136.0744,0.2129,0.0063," غير مستعمل في رفع حدث ونجس قليلا,
  سائر الطهارة ولو مسنونة إلا الماء
 المطلق و..."," 2- وجري ماء على عضو 3- وأن لا يكون عليه مغير للماء
 تغيرا
  وينجس قليل الماء وه..."
Page_V01P552,Page_V01P550,653.4068,150.4725,0.2303,0.0021," عند قاض,
  أي الزوج بإقراره أو بينة تذكر
 إعساره الآن.
 ولا تكفي بينة ذكرت أنه ..."," فلا فسخ بامتناع غيره إن لم  ينقطع خبره,
  فائدة [في بيان حكم ما إذا كان عند
 زو..."
Page_V01P347,Page_V01P345,766.0483,210.8153,0.2752,0.0052," وله طلب بيعه  إن حل دين ويجبر راهن فإن أصر باعه قاض
 وعلى مالكه مؤنة,
  الأوجه ..."," لا بشرط ما يضر كأن لا يباع عند المحل وكشرط منفعته
 كأن يشرطا أن الزوائد مرهونة...."
Page_V01P627,Page_V01P626,703.3491,214.018,0.3043,0.0053," كما لو ادعى على صبي وميت وإذا ثبت مال الغائب وله
 مال قضاه منه إذا
  كما لو ادع..."," حجة ولم يقل: هو مقر ووجب تحليفه بعد بينة أن الحق في
 ذمته,
  حجة ولم يقل هو أي ..."
Page_V01P559,Page_V01P561,677.0911,114.513,0.1691,0.0049," 000000000000000000000000000000
  ويجوز الحلب إن مات الولد بأي حيلة
 كانت.
 ويحر..."," 000000000000000000000000000000000
  من غير قصد إلى أنه عمد موجب
 للقود.
 قال شي..."
Page_V01P357,Page_V01P368,732.7814,143.127,0.1953,0.0019," 00000000000000000000000000000000
  الذي شرط في الكفالة الإحضار إليه
 وإلا فحيث ..."," 000000000000000000000000000000000
  القاضي لو أمر مدينه أن يشتري له
 بدينه طعام..."
Page_V01P289,Page_V01P451,615.78,97.3218,0.158,0.0047," وشروط الطواف: 1- طهر 2- وستر 3- ونيته إن استقل 4-
 وبدؤه بالحجر الأسود محاذيا ل..."," أركانه: 1- زوجة 2- وزوج 3- وولي 4- وشاهدان 5-
 وصيغة.
  بها وإلا فهي أولى.
 قال..."
Page_V01P557,Page_V01P555,719.6052,117.8043,0.1637,0.004," 000000000000000000000000000000000
  فبنت أخ فعمة.
 والمميز إن افترق أبواه من ال..."," 000000000000000000000000000000000
  فائدة: لو فقد الزوج قبل التمكين
 فظاهر كلام..."
Page_V01P369,Page_V01P370,726.9856,163.2411,0.2245,0.0011," ويصح قراض في نقد خالص مضروب بصيغة مع شرط ربح لهما,
  ويصح قراض: وهو أن يعقد على..."," ويشترط كونه معلوما بالجزئية ولعامل في فاسد أجرة مثل
  لأحدهما الربح.
 ويشترط كو..."
Page_V01P121,Page_V01P122,755.1008,117.777,0.156,0.0022," 12- وقعود لهما وسن تورك فيه ووضع يديه في تشهديه على
 طرف ركبتيه ناشرا أصابع يسر..."," ونظر إليها.
 | 13- 
 وتسليمة أولى وأقلها: السلام عليكم وسن ثانية ب: رحمه الله و..."
Page_V01P164,Page_V01P171,647.612,94.4663,0.1459,0.0011," وركعتا تحية
  فضيلة التأخير إلى ربع النهار
 وفضيلة أدائها في المسجد إن لم يؤخره..."," 000000000000000000000000000000000
  عليه [البخاري رقم: 645, مسلم رقم:
 650] : ص..."
Page_V01P615,Page_V01P188,931.1718,146.8263,0.1577,0.0026," 000000000000000000000000000000000
  وقال شيخنا المحقق ابن زياد رحمه
 الله تعالى..."," ولا يصح قدوة بمن اعتقد بطلان صلاته,
  كالمنفرد ولا تصح له الجمعة وهم
 كما بينه ..."
Page_V01P606,Page_V01P607,726.8015,129.9255,0.1788,0.0044," وإذا أرق وعليه دين لم يسقط.
  وإذا أرق الحربي وعليه دين لمسلم
 أو ذمي لم يسقط و..."," 000000000000000000000000000000000
  الضعيف أنه لا يخمس عليه فقول جمع
 متقدمين ظ..."
Page_V01P631,Page_V01P632,738.1296,218.5937,0.2961,0.0035," عليه من وافقه وله بلا فتنة أخذ ماله من مماطل,
  عليه من وافقه أي الظاهر وشرطهما..."," ثم إن كان جنس حقه تملكه وشرط للدعوى بنقد
  ثم إن كان جنس حقه تملكه وإلا
 اشترط ..."
Page_V01P466,Page_V01P476,708.2609,144.2664,0.2037,0.002," وهو أب فأبوه فيزوجان بكرا أو ثيبا بلا وطء بغير
 إذنها لكفء,
  ولا ولاية أيضا لأ..."," فرع: يزوج عتيقة امرأة حية وليها بإذن عتيقة وأمة
 بالغة وليها بإذنها وحدها وأمة ..."
Page_V01P100,Page_V01P099,722.2573,151.9256,0.2103,0.002," وموالاة فيعيد بتخلل ذكر أجنبي لا بتأمين وسجود ودعاء
 لقراءة إمامه
  وفي النطق ب..."," مع بسملة وتشديدات ورعاية حروف ومخارجها
  مما بعدها إلا والإمام راكع فيتحمل
 الإ..."
Page_V01P141,Page_V01P139,674.0436,153.7513,0.2281,0.0033," 0000000000000000000000000000000000
  قاعدة: وهي أن ما شك في تغيره عن
 أصله يرجع..."," ولو شك بعد سلام في فرض غير نية وتحرم لم يؤثر.
  سلام الإمام فلا يتحمله لانقضاء
..."
Page_V01P516,Page_V01P508,669.09,117.7785,0.176,0.0024," ولو قال لها: طلقي نفسك إن شئت فهو تمليك فيشترط
 تطليقها فورا بطلقت.
  ثم إن قصد..."," بمشتق طلاق وفراق وسراح وترجمته وأعطيت طلاقك وأوقعت
 عليك الطلاق,
  بصريح وهو ما..."
Page_V01P591,Page_V01P592,678.3516,73.257,0.108,0.0072," ووجب ختان ببلوغ,
  فرع: يجب الدفع عن منكر كشرب مسكر
 وضرب آلة لهو وقتل حيوان ول..."," وحرم تثقيب أذن.
  ويسن إظهار ختان الذكر وإخفاء ختان
 الأنثى.
 وأما مؤنة الختان ..."
Page_V01P096,Page_V01P221,662.7979,111.7385,0.1686,0.0049," مع تحرم وركوع ورفع منه ومن تشهد أول ووضعهما تحت
 صدره آخذا بيمينه يساره.
 | 3- ..."," وأركانها: 1- نية 2- وقيام 3- وأربع تكبيرات 4-
 وفاتحة,
  وأركانها أي الصلاة على..."
Page_V01P292,Page_V01P301,646.0488,106.521,0.1649,0.0013," 2- ومبيت بمزدلفة 3- وبمنى,
  ومن المشرق: ذات عرق.
 وميقات العمرة لمن بالحرم الح..."," ودم ترك مأمور ذبح فصوم ثلاثة وقبل نحر وسبعة بوطئه
 ويجب على مفسد نسك بوطء بدنة
..."
Page_V01P086,Page_V01P300,678.6391,103.769,0.1529,0.0045," وحرة غير وجه وكفين بما لا يصف لونا إن قدر عليه.
  وستر حرة ولو صغيرة غير وجه وك..."," وستر امرأة لا رجل بعض وجه وفدية ما يحرم ذبح شاة أو
 تصدق بثلاثة آصع لستة أو صوم..."
Page_V01P251,Page_V01P250,644.4585,105.0552,0.163,0.0058," 0000000000000000000000000000000000
  فهل يجزئ؟ وجهان وظاهر كلام شيخنا
 ترجيح عد..."," 000000000000000000000000000000000
  الغالب كما استظهره شيخنا وأعطي ما
 يقضي به ..."
Page_V01P331,Page_V01P362,816.8092,139.8801,0.1713,0.0103," وجماح وعض  وكتصرية لا بغبن فاحش كظن زجاجة جوهرة
 والخيار فوري.
  لطين أو شاربا ..."," ,إذا أطلق الموكل ولا يبيع لنفسه
  ولو مثليا إن أقبض المشتري فإن
 بقي: استرده ول..."
Page_V01P291,Page_V01P180,639.7493,93.745,0.1465,0.005," وو1جباته: 1- إحرام من ميقات.
  ويسن أن يقرب الذكر من البيت ما لم
 يؤذ أو يتأذ ب..."," وفي صف أول ثم ما يليه وكره انفراد وشروع في صف قبل
 إتمام ما قبله وعلم بانتقال إ..."
Page_V01P447,Page_V01P446,734.5753,131.3961,0.1789,0.0393," 000000000000000000000000000000000
  للضرورة  وللعبد العدل النظر إلى
 سيدته المت..."," 000000000000000000000000000000000
  مهمة [في بيان النظر المحرم
 والجائز وغير ذل..."
Page_V01P033,Page_V01P119,343.1178,38.1512,0.1112,0.021," وعلى آله
  والرسول من البشر ذكر حر أوحى إليه
 بشرع وأمر بتبليغه وإن لم يكن له ك..."," 11- وصلاة على النبي بعده وأقلها: اللهم صل على محمد
 وسن في أخير صلاة على آله,
 ..."
Page_V01P326,Page_V01P601,636.4152,80.6882,0.1268,0.0035," وبيع نحو عنب ممن ظن أنه يتخذه مسكرا,
  والأب وإن علا والجدة وإن علت ولو
 من الأ..."," وأصل لا لتعلم فرض وإن دخلوا بلدة لنا تعين على أهلها
  وحرم السفر لجهاد وحج تطوع..."
Page_V01P366,Page_V01P367,557.5016,96.4181,0.1729,0.0015," فإن تعدى صمن
 وينعزل بعزل أحدهما
  ولوكله بقضاء دين فقال  قضيته وأنكر
 المستحق ..."," وبموت أو جنون وزوال ملك موكل ولا يصدق بعد تصرف إلا
 ببينة.
  يعزله الموكل سواء ..."
Page_V01P469,Page_V01P467,650.5748,117.5803,0.1807,0.0067," ثم قاض فيزوج بكفء بالغة
  وخرج بثيب بوطء مزالة البكارة بنحو
 إصبع فحكمها حكم ال..."," لا ثيبا بوطء إلا بإذنها نطقا بالغة وتصدق في بكارة
 بلا يمين وفي ثيوبة قبل عقد ب..."
Page_V01P094,Page_V01P109,757.2616,110.0009,0.1453,0.0018," مقرونا به النية ويتعين: الله أكبر,
  وجعل فاتحة الصلاة ليستحضر المصلي
 معناه ال..."," وتكبير في كل خفض ورفع لا من ركوع ومده وجهر به لإمام
 وكره لغيره.
 | 5- 
 وركوع ..."
Page_V01P176,Page_V01P174,684.8231,108.929,0.1591,0.002," وركعة بتكبيرة لإحرام
  الإحرام إلى الركوع بل يسن عدمه
 زجرا له.
 قال الفوراني: ..."," وتدرك جماعة ما لم يسلم إمام,
  إمامه فلا يكره له الدخول في جماعة
 أخرى.
 فإذا ا..."
Page_V01P246,Page_V01P245,663.8638,186.7409,0.2813,0.0042," لا مقارنتها للدفع بل تكفي عند عزل أو إعطاء وكيل أو
 بعد أحدهما وقبل التفرقة,
  ..."," وشرط له: 1- نية كهذا زكاة أو صدقة مفروضة
  بعد الحول صح لا في قدر الزكاة
 كسائر..."
Page_V01P339,Page_V01P349,575.2017,110.4455,0.192,0.0082," 000000000000000000000000000000
  ومن وهب في مرضه شيئا فادعت ورثته
 غيبة عقله حا..."," ولو اختلفا في رهن أو قدره صدق راهن.
  ارتهان الحلي مع الإذن في لبسها
 فأجاب لا ..."
Page_V01P532,Page_V01P671,730.9509,130.7621,0.1789,0.0023," يجب استبراء لحل بملك أمة وإن تيقن براءة رحم وبزوال
 فراش عن أمة موطوءة أو مستول..."," إذا أحبل حر أمته فولدت عتقت بموته كولدها بنكاح أو
 زنى بعد وضعها وله وطء أم ولد..."
Page_V01P433,Page_V01P436,344.9527,85.848,0.2489,0.0034," 
 | باب الفرائض
  باب الفرائض
 أي مسائل قسمة المواريث جمع فريضة بمعنى مفروضة.
 ..."," وبنت ابن فأكثر مع بنت أو بنت ابن أعلى وأخت فأكثر
 لأب مع أخت لأبوين وواحد من ول..."
Page_V01P313,Page_V01P312,570.6245,105.7201,0.1853,0.0041," 000000000000000000000000000000000
  بمتاعه ففعلا صح.
 وإن زاد المبتدئ: إن نذرت ..."," ك: إن شفاني الله أو سلمني الله فعلى كذا فيلزم ما
 التزمه حالا في منجز وعند وجود..."
Page_V01P265,Page_V01P264,701.0774,89.687,0.1279,0.0051," وبدخول عين جوفا,
  لقطها لتكرر الحاجة إليه أما لو
 ابتلعها مع القدرة على لفظها ..."," مختار بجماع واستمناء لا بضم بحائل واستقاءة لا بقلع
 نخامة,
  بعيدة عمن يعرف ذلك..."
Page_V01P163,Page_V01P162,651.0341,103.7938,0.1594,0.0457," والضحى وأقلها ركعتان وأكثرها ثمان,
  السنة كما صرح به الجو جري والشيخ
 زكريا.
 ..."," 000000000000000000000000000000000
  فرع يسن لمن وثق بيقظته قبل الفجر
 بنفسه أو ..."
Page_V01P669,Page_V01P418,840.339,88.336,0.1051,0.0021," الكتابة سنة بطلب عبد أمين مكتسب وشرط في صحتها لفظ
 يشعر بها إيجابا ككاتبتك على ..."," وشرط فيه لفظ كعلي أو عندي كذا ونعم وأبرأتني وقضيته
 لجواب أليس لي؟ أو لي عليك ك..."
Page_V01P617,Page_V01P618,784.7719,206.563,0.2632,0.0031," وينعزل القاضي ونائبه لا عن إمام بخبره وعزل نفسه
 وجنون وفسق,
  وينعزل القاضي أي..."," ولا ينعزل قاض بموت إمام ولا يقبل قول متول في غير
 محل ولايته حكمت بكذا كمعزول.
..."
Page_V01P391,Page_V01P344,582.6781,79.3602,0.1362,0.0042," 
 | باب في الهبة
 الهبة: تمليك عين بلا عوض بإيجاب كوهبتك وقبول كقبلت,
  باب في ..."," ويصح رهن بإيجاب وقبول من أهل تبرع ولو عارية,
  كان ضامنا على الأوجه للحاجة: كأل..."
Page_V01P075,Page_V01P309,669.001,83.9474,0.1255,0.006," وكميتة غير بشر وسمك وجراد,
  وألحق به فم ما يجتر من ولد البقرة
 والضأن إذا التق..."," 0000000000000000000000000000000000
  ويؤيده نقل ابن الصباغ عن الأصحاب
 حل جميع ..."
Page_V01P239,Page_V01P238,645.1566,143.8764,0.223,0.0086," ومائة وإحدى وعشرين شاتان ومائتين وواحدة ثلاث وأربع
 مائة أربع ثم في كل مائة شاة..."," وست وأربعين حقة وإحدى وستين جذعه وست وسبعين بنتا
 لبون وإحدى وتسعين حقتان ومائة..."
Page_V01P324,Page_V01P620,664.7425,82.2137,0.1237,0.0036," وحرم ربا
  مع وزنها فيورث عزة الوجود.
 ويشترط أيضا بيان محل تسليم للمسلم فيه إن..."," وحرم قبوله هدية من لا عادة له بها قبل ولاية إن كان
 في محله ومن له خصومة وإلا ج..."
Page_V01P376,Page_V01P377,733.4107,136.0426,0.1855,0.0044," 000000000000000000000000000000000
  التزيين بها لا تقابل بمال وأما
 المعراة: في..."," وعلى مكر تسليم مفتاح دار
  القارئ وألحق بها الاستئجار لمحض
 الذكر والدعاء عقبه ..."
Page_V01P242,Page_V01P235,607.6915,99.4329,0.1636,0.0013," وهي صاع من غالب قوت  بلده وحرم تأخيرها عن يومه.
  وهي أي زكاة الفطر صاع1 وهو أر..."," وفي قوت كبر وأرز وتمر وعنب بلغ خمسة أو سق منقى عشر
 إن سقي بل مؤنة وإلا فنصفه.
..."
Page_V01P325,Page_V01P322,637.6906,115.2699,0.1808,0.0049," وتفريق بين أمة وفرع لم يميز بنحو بيع وبطل فيهما,
  إلى قبول لفظا على المعتمد.
 ..."," ومماثلة وبغير جنسه حلول وتقابض وفي بيع موصوف في ذمة
  ومماثلة بين العوضين يقينا..."
Page_V01P299,Page_V01P492,793.5968,134.8834,0.17,0.0094," ودهن شعر وإزالته وقلم ويحرم ستر رجل بعض رأس بما يعد
 ساترا ولبسه محيطا بلا عذر,..."," 0000000000000000000000000000000000
  الطعام حرام حرمت الإجابة وإن لم
 يرد الأكل..."
Page_V01P103,Page_V01P104,744.6884,127.2027,0.1708,0.001," أو يجلس مأموم وإن خاف فوت سورة فتعوذ كل ركعة,
  أو يجلس مأموم مع إمامه وإن أمن ..."," ووقف على رأس كل آية منها وتأمين عقبها ومع إمامه إن
 سمع,
  يشرع في قراءة ولو سه..."
Page_V01P371,Page_V01P372,662.2441,145.623,0.2199,0.0041," ولا  يمون وصدق في تلف وعدم ربح وقدره وخسر ورد.
  السفر وانتفى الخوف والمؤنة فيض..."," 000000000000000000000000000000000
  ويصدق العامل أيضا في قدر رأس
 المال لان الأ..."
Page_V01P080,Page_V01P078,600.1503,117.9823,0.1966,0.0028," ويعفى عن دم نحو برغوث
  لا يخلو منه دلو فلينزح كله فإن
 اغترف قبل النزح ولم يتي..."," 0000000000000000000000000000000
  ومتنجس بحكمية كبول جف لم يدرك له
 صفة بجري ال..."
Page_V01P107,Page_V01P108,689.9095,210.0338,0.3044,0.0057," وفي  جمعة وعشائها الجمعة والمنافقون أو {سبح} 87 سورة
 الأعلى {هل أتاك} [88 سورة..."," 000000000000000000000000000000000
  فرع لو ترك إحدى المعينتين في
 الأولى أتى به..."
Page_V01P444,Page_V01P505,590.8219,79.0644,0.1338,0.0117," 0000000000000000000000000000000000
  ويجوز أخذ نحو سنابل الحصادين التي
 اعتيد ا..."," 00000000000000000000000000000000
  غير فاسد: لان العوض فيه مقصود
 خلافا لبعضهم ..."
Page_V01P070,Page_V01P084,557.3986,78.8079,0.1414,0.0015," وجاز تكشف له في خلوة.
 وثانيها: طهارة بدن وملبوس ومكان عن نجس,
  لأن ذلك يرد في..."," 000000000000000000000000000000000
  ولا تصح صلاة من حمل مستجمرا أو
 حيوانا بمنف..."
Page_V01P196,Page_V01P195,638.9066,133.0221,0.2082,0.0054," وبأربعين,
  وتجب على من جاء بعد ركوع الثانية:
 نية الجمعة على الأصح وإن كانت ال..."," ولا تنعقد به ولا بمن به رق وصبا وشرط 1- وقوعها
 جماعة في الركعة الأولى,
  وعلى ..."
Page_V01P179,Page_V01P187,767.2826,127.1551,0.1657,0.002," ونية إمامة سنة لإمام في غير جمعة وعدم تقدم على إمام
 بعقب وندب وقوف ذكر عن يمين..."," وسبقه على إمام بركنين فعليين مبطل وبركن فعلي حرام
 ومقارنته في أفعال مكروهة كتخ..."
Page_V01P037,Page_V01P271,667.1433,115.3647,0.1729,0.0012," ويبادر بفائت ويسن ترتيبه وتقديمه على حاضره,
  لا يضمن من قتله قبل التوبة لكنه
 ..."," وعلى من أفطر لعذر لا يرجى زواله مد بلا قضاء وعلى
 مؤخر قضاء بلا عذر مد لكل سنة...."
Page_V01P149,Page_V01P157,567.0342,84.5431,0.1491,0.0031," وندب لمنفرد رأى جماعة أن يقلب فرضه نفلا ويسلم من
 ركعتين.
  فرع لو أخبره عدل رو..."," . . . . . . . . . . . . . . . . . . . . . . . . . .
 . . . . . . .
  وتسن الصلا..."
Page_V01P112,Page_V01P111,747.0439,98.1665,0.1314,0.0151," وقنوت بصبح ووتر نصف أخير من رمضان وبسائر مكتوبة
 لنازلة رافعا يديه
  بعدهما كال..."," 6- واعتدال بعود لبدء ويسن أن يقول في رفعه: سمع الله
 لمن حمده وبعد انتصاب ربنا ..."
Page_V01P186,Page_V01P185,665.6172,175.9333,0.2643,0.002," وعذر,
  وعذر من تخلف لسنة كبطء القراءة
 على ما قاله الشيخان كالبغوي لوجوب التخل..."," ثم يتدارك ولو اشتغل مسبوق بسنة قرأ قدرها
  ثم يتدارك بعد سلام الإمام ما بقي
 عل..."
Page_V01P132,Page_V01P193,638.632,101.5106,0.159,0.0022," وكشف رأس ومنكب وصلاة بمدافعة حدث
  هو ظاهر انتهى.
 ويجب إخراج نجس منه فورا عيني..."," 000000000000000000000000000000000
  يسير ومدافعة حدث من بول أو غائط
 أو ريح فتك..."
Page_V01P337,Page_V01P643,766.1175,177.0869,0.2311,0.0011," 
 | فصل في اختلاف المتعاقدين
 ولو اختلف متعاقدان في صفة عقد وصح كقدر عوض ولا بي..."," ولو ادعيا شيئا بيد ثالث وأقام كل بينة أنه اشتراه
 فإن اختلف تاريخهما حكم للأسبق..."
Page_V01P166,Page_V01P167,674.4542,140.0964,0.2077,0.001," وصلاة العيدين
  وتتأدى بفوائت وغيرها خلافا لشيخنا
 والأولى فعلها بعد الفراغ من ..."," والكسوفين بخطبتين بعدهما واستسقاء
  فيهما رافعا يديه مع كل تكبيرة ما
 لم يشرع ف..."
Page_V01P208,Page_V01P209,609.6004,94.2178,0.1546,0.0056," وإنصات لخطبة
  وينبغي البدار بغسل محل القلم.
 ويسن فعل ذلك يوم الخميس أو بكرة ا..."," وقراءة كهف وإكثار صلاة على النبي صلى الله عليه وسلم
 يومها وليلتها
  المنبر: وإ..."
Page_V01P473,Page_V01P474,703.8624,200.7,0.2851,0.005," ولمجبر توكيل في تزويج موليته بغير إذنها وعلى وكيل
 رعاية حظ ولغيره بعد إذن له ف..."," 000000000000000000000000000000000
  وخرج بقولي بعد إذنها للولي في
 التزويج ما ل..."
